Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 243 м²",155000000,637860,Алматы,,2007.0,243.0,21 нояб.,24
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 181.6 м²",210000000,1156388,Алматы,,,181.6,21 нояб.,50
Общепит · 2000 м²,1200000000,600000,Алматы,,,2000.0,21 нояб.,3715
Магазины и бутики · 273.4 м²,150000000,548647,Алматы,,,273.4,21 нояб.,1373
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 547.2 м²",599000000,1094664,Алматы,,,547.2,21 нояб.,41
"Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 597.7 м²",400000000,669232,Алматы,,,597.7,21 нояб.,40
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 424 м²",540000000,1273585,Алматы,,,424.0,21 нояб.,15
Свободное назначение · 2700 м²,2100000000,777778,Алматы,,2013.0,2700.0,21 нояб.,567
Свободное назначение · 304 м²,200000000,657895,Алматы,,2012.0,304.0,21 нояб.,1123
"Свободное назначение, бани, гостиницы и зоны отдыха, медцентры и аптеки · 2200 м²",900000000,409091,Алматы,,,2200.0,21 нояб.,218
"Свободное назначение, общепит · 70 м²",54000000,771429,Алматы,,,70.0,21 нояб.,334
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 787.9 м²",850000000,1078817,Алматы,,2001.0,787.9,21 нояб.,446
"Свободное назначение, офисы, магазины и бутики · 75 м²",70000000,933333,Алматы,,,75.0,21 нояб.,1290
"Свободное назначение, офисы, магазины и бутики, склады, общепит, образование, развлечения · 450 м²",41000000,91111,Алматы,,2014.0,450.0,21 нояб.,949
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 470 м²",287000000,610638,Алматы,,2019.0,470.0,21 нояб.,693
Офисы · 340 м²,480000000,1411765,Алматы,,2019.0,340.0,21 нояб.,777
Свободное назначение · 52 м²,36000000,692308,Алматы,,1955.0,52.0,21 нояб.,598
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование, развлечения · 203.5 м²",70000000,343980,Алматы,,,203.5,21 нояб.,26
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 287 м²",295000000,1027875,Алматы,,2023.0,287.0,21 нояб.,373
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 78 м²",160000000,2051282,Алматы,,2023.0,78.0,21 нояб.,281
Свободное назначение · 823 м²,590000000,716889,Алматы,,1979.0,823.0,21 нояб.,433
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 88 м²",33000000,375000,Алматы,,2005.0,88.0,21 нояб.,2027
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 81 м²",190000000,2345679,Алматы,,,81.0,21 нояб.,1809
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 110 м²",200000000,1818182,Алматы,,,110.0,21 нояб.,1773
"Свободное назначение, офисы, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, образование · 2255 м²",1700000000,753880,Алматы,,1987.0,2255.0,21 нояб.,1539
